Customer_ID,Age,Gender,Region,Tenure_Months,Annual_Spend,Promo_Used,Customer_Service_Calls,Churned
55,19,Male,West,59,3541.0,1,4,0
56,37,Male,East,27,3455.4,1,3,1
57,45,Female,South,49,4593.89,0,2,0
58,64,Male,South,13,4194.77,1,2,0
59,24,Female,North,33,4656.2,1,7,0
60,61,Female,East,34,2634.18,0,3,0
61,25,Male,South,41,3599.37,1,3,0
62,64,Male,East,35,5525.62,0,3,0
63,52,Female,East,1,4442.03,0,5,0
64,31,Male,North,21,4236.44,0,1,0
65,34,Female,South,48,4566.34,0,3,0
66,53,Female,West,55,5766.76,1,4,0
67,67,Female,North,6,5598.44,1,8,1
68,57,Female,South,28,2736.38,1,2,1
69,21,Female,South,17,3031.6,1,3,1
70,19,Male,South,5,2709.27,0,3,1
71,23,Male,South,31,3402.31,1,5,0
72,59,Female,South,5,4043.94,1,3,1
73,21,Female,East,38,4193.61,1,4,0
74,46,Male,North,3,2775.62,0,6,1
75,35,Male,East,53,2506.12,1,6,1
76,43,Female,West,23,3388.17,1,3,1
77,61,Male,South,37,4732.94,1,7,0
78,51,Female,North,53,4872.29,1,4,0
79,27,Male,South,37,5364.66,1,4,0
80,53,Female,North,10,3974.14,1,0,0
81,31,Male,East,10,4662.52,1,9,1
82,48,Female,North,19,4807.92,0,1,0
83,65,Male,West,17,3602.51,1,2,0
84,32,Male,West,21,4310.28,1,1,0
85,25,Female,North,14,4526.96,1,5,0
86,31,Male,North,9,3272.67,0,2,1
87,40,Female,North,46,5313.68,0,2,0
88,57,Male,North,1,3968.95,1,1,0
89,38,Female,West,51,4069.63,0,1,0
90,33,Male,South,45,3242.13,1,4,0
91,62,Female,North,13,3376.46,0,5,1
92,35,Male,North,4,2242.79,0,3,1
93,64,Female,West,1,4044.12,1,4,1
94,41,Male,West,49,6004.55,1,5,0
95,43,Female,East,40,3185.1,0,0,1
96,42,Female,North,32,6380.96,0,3,0
97,62,Female,East,34,5131.4,0,9,0
98,58,Male,West,28,3621.13,1,4,0
99,46,Female,West,31,4021.81,0,2,0
100,32,Male,South,8,3891.92,1,4,1
101,62,Female,North,39,5364.93,1,3,0
102,18,Male,East,26,4413.61,0,4,0
103,42,Female,West,58,4945.58,1,1,0
104,24,Male,West,34,4286.54,1,1,0
105,26,Male,East,54,3910.42,0,1,0
106,41,Female,South,54,4261.14,1,8,0
107,18,Male,West,3,3674.44,1,6,0
108,61,Male,North,59,2838.24,1,2,0
109,25,Female,West,50,4650.95,1,2,0
110,41,Male,North,12,2799.07,1,6,1
111,28,Male,East,1,3784.93,1,2,1
112,68,Male,North,54,3648.11,1,2,0
113,34,Female,East,44,4514.68,1,9,0
114,25,Male,North,5,5251.76,1,2,0
115,52,Female,East,30,4963.98,1,5,1
116,52,Male,North,30,4537.94,0,9,0
117,50,Male,South,59,3496.1,0,3,0
118,22,Male,North,57,3853.22,0,0,0
119,59,Female,North,17,3736.58,0,2,0
120,56,Male,South,48,3623.77,0,7,0
121,58,Male,West,47,3678.04,1,7,1
122,45,Female,West,23,3656.69,0,6,0
123,24,Male,North,15,3621.26,1,1,0
124,26,Female,South,37,4761.51,0,6,0
125,25,Female,North,21,3156.29,1,8,1
126,29,Male,East,14,3416.42,1,5,1
127,51,Female,East,2,2733.27,1,8,1
128,50,Male,North,11,5132.39,1,7,0
129,65,Female,West,51,3362.8,0,5,1
130,40,Female,West,39,4528.62,1,4,0
131,41,Male,North,38,4380.26,0,3,0
132,54,Female,North,34,5055.07,1,2,0
133,52,Female,East,38,3831.99,0,5,1
134,61,Female,West,50,3241.97,1,3,1
135,57,Female,North,34,2755.4,1,7,1
136,39,Female,East,18,1772.29,0,9,0
137,44,Male,West,30,4129.08,0,6,0
138,52,Female,South,15,4620.38,0,1,0
139,18,Male,East,27,4377.35,0,2,0
140,52,Female,West,51,2776.19,1,1,1
141,54,Male,West,34,4831.06,0,5,0
142,64,Male,East,52,3441.43,0,6,1
143,31,Female,South,57,3274.48,0,8,1
144,20,Female,East,38,3423.49,1,3,0
145,18,Female,West,33,4062.73,0,8,1
146,22,Male,North,24,2812.24,0,7,1
147,43,Female,North,15,3970.37,0,3,0
148,31,Male,East,30,4343.56,1,7,1
149,56,Male,West,55,4885.86,1,3,0
150,44,Male,North,42,4140.77,0,2,0
151,26,Female,West,51,2928.3,0,5,0
152,32,Female,East,17,4119.11,1,3,0
153,32,Male,North,5,3151.79,1,5,1
154,43,Male,West,29,3105.64,0,5,1
155,59,Female,North,4,2909.84,1,4,1
156,30,Male,East,10,2471.0,1,3,0
157,68,Female,West,56,3546.27,0,4,0
158,49,Male,North,17,4903.11,1,4,1
159,56,Female,East,10,5805.19,1,4,0
160,66,Male,North,17,3541.13,1,3,1
161,69,Female,North,20,4868.88,0,0,0
162,49,Male,South,24,3684.33,0,4,0
163,21,Female,South,5,2679.41,1,2,1
164,47,Female,East,34,4560.75,1,5,0
165,54,Male,South,6,4187.85,1,6,1
166,40,Male,East,53,5454.42,1,4,0
167,56,Female,South,2,2772.26,1,4,1
168,62,Male,North,13,6236.83,1,9,0
169,32,Female,East,43,5273.37,0,7,0
170,60,Male,East,43,3985.66,0,8,0
171,46,Female,North,48,3761.09,1,7,0
172,53,Female,East,11,3427.35,0,1,0
173,30,Female,East,51,4087.79,1,1,1
174,49,Female,South,47,3852.85,0,4,1
175,24,Female,East,57,4411.04,0,2,0
176,68,Female,West,23,3764.51,0,4,0
177,39,Male,North,55,5131.97,1,3,0
178,45,Male,South,16,4100.04,1,4,0
179,19,Male,South,31,3794.55,0,6,1
180,59,Female,West,11,4819.43,1,6,0
181,62,Female,North,54,2701.98,1,4,1
182,23,Female,North,16,4272.79,1,7,0
183,45,Female,South,8,4020.46,0,3,0
184,45,Male,East,4,2871.32,1,7,1
185,61,Male,South,40,2633.2,1,1,1
186,61,Female,North,4,4808.28,0,9,1
187,37,Male,West,56,4770.23,0,5,1
188,47,Male,South,25,4138.05,1,3,0
189,28,Female,North,3,5373.33,1,2,0
190,45,Male,South,32,4352.77,0,4,0
191,42,Female,East,3,4999.84,1,2,0
192,56,Male,South,27,4336.26,1,2,0
193,50,Female,South,29,3779.35,1,5,1
194,18,Female,North,32,3153.97,1,4,1
195,44,Female,North,50,3517.25,1,5,1
196,69,Female,North,58,3794.3,1,8,0
197,30,Male,South,51,5090.52,0,4,0
198,58,Female,East,19,4615.94,0,4,0
199,20,Female,West,21,4264.26,1,1,0
200,56,Female,West,5,4696.01,1,6,0
201,23,Male,North,18,4421.91,0,3,1
202,25,Female,North,28,4209.55,1,9,0
203,44,Male,South,42,2801.07,1,7,1
204,26,Female,West,22,4911.33,1,4,0
205,54,Male,North,21,3633.19,1,1,0
206,50,Male,East,6,4870.83,1,7,1
207,68,Female,East,1,4948.17,0,6,1
208,59,Male,North,5,3463.97,0,2,1
209,61,Female,North,41,4759.77,0,2,0
210,41,Female,West,12,3711.21,0,6,0
211,32,Female,West,26,3715.97,1,2,0
212,49,Male,South,46,4205.98,1,8,0
213,49,Male,West,34,4227.58,0,3,0
214,41,Female,East,49,4030.84,1,1,0
215,58,Female,East,14,2932.57,0,7,1
216,69,Male,North,26,3902.84,1,3,0
217,66,Female,West,45,5822.78,1,4,0
218,66,Female,South,27,1772.8,0,1,1
219,69,Female,East,9,4695.79,1,0,0
220,29,Male,East,26,4845.7,0,5,0
221,56,Male,South,57,2913.32,1,4,0
222,19,Male,South,47,3624.45,1,4,0
223,20,Female,East,57,3199.43,0,6,1
224,66,Female,East,22,5483.17,1,5,0
225,54,Female,South,47,4882.42,0,2,0
226,66,Male,East,56,4921.14,0,3,1
227,34,Female,North,30,4096.52,1,8,1
228,66,Female,North,43,5049.67,0,6,0
229,19,Female,South,48,3993.41,1,4,0
230,19,Female,West,17,5087.33,1,2,0
231,45,Male,South,26,3881.04,1,3,0
232,40,Male,South,36,3456.61,0,6,0
233,54,Female,West,1,5448.76,1,7,1
234,49,Male,West,8,3983.32,1,5,0
235,50,Male,West,49,3280.96,0,7,0
236,18,Female,North,35,3272.29,1,6,1
237,36,Female,East,52,3274.74,1,1,1
238,19,Male,North,15,4675.55,1,3,0
239,61,Female,East,47,3920.91,1,2,1
240,43,Male,North,56,5838.37,1,2,0
241,49,Female,East,22,4948.94,1,7,0
242,23,Male,North,14,4205.71,1,4,0
243,49,Female,West,26,5123.12,1,4,0
244,21,Male,South,28,3603.59,0,2,0
245,28,Male,North,23,2516.17,0,3,0
246,34,Male,East,14,3208.33,1,2,1
247,55,Female,West,24,4117.77,0,2,0
248,41,Male,North,2,3821.97,1,5,0
249,22,Male,North,45,4659.53,0,2,0
250,69,Female,West,26,3900.31,0,5,0
251,51,Female,North,14,4598.43,1,1,0
252,23,Male,South,59,5200.78,1,1,0
253,39,Male,North,56,3897.84,0,2,0
254,28,Female,South,51,4444.12,1,4,0
255,65,Female,South,7,2596.17,1,5,1
256,33,Female,West,3,3900.88,0,3,1
257,50,Female,North,47,3014.43,1,3,0
258,26,Female,West,23,4116.18,0,6,0
259,23,Male,North,46,4188.8,0,0,0
260,33,Female,North,43,4186.14,1,3,1
261,46,Male,East,47,3615.9,0,7,0
262,20,Male,North,45,5838.78,1,5,0
263,37,Male,West,18,2985.58,1,3,0
264,53,Female,South,58,2936.68,0,8,0
265,36,Male,North,38,5323.98,1,6,0
266,43,Male,East,35,3436.58,1,2,1
267,20,Female,West,51,3244.25,0,5,1
268,36,Male,North,15,5842.33,1,4,0
269,37,Male,West,25,4788.58,1,3,0
270,49,Female,East,55,3524.43,1,3,0
271,24,Male,East,37,4174.01,1,3,0
272,69,Male,West,28,5556.7,0,5,1
273,58,Male,North,10,4553.3,1,3,0
274,50,Female,South,39,5028.92,1,7,1
275,57,Female,East,57,4643.84,1,5,0
276,56,Female,North,17,4744.2,1,1,0
277,35,Male,North,39,4031.79,1,5,0
278,57,Male,South,22,4009.08,1,2,0
279,18,Female,East,26,4213.64,1,4,0
280,28,Male,East,44,4587.56,1,5,0
281,45,Male,North,25,3773.35,1,2,0
282,42,Female,North,17,4097.64,1,4,0
283,67,Female,South,13,3751.72,1,2,0
284,40,Male,South,20,4092.55,0,1,0
285,48,Male,East,25,2999.2,0,3,1
286,47,Male,West,4,6084.78,1,3,0
287,59,Female,East,10,3413.65,1,9,1
288,52,Female,North,3,3710.83,1,3,0
289,24,Female,East,41,3344.59,1,3,1
290,33,Female,West,45,4492.57,1,4,0
291,43,Male,South,18,3843.2,1,1,0
292,65,Female,West,47,3228.95,0,9,1
293,69,Female,West,36,4525.51,1,5,0
294,66,Female,West,47,4633.32,1,6,0
295,19,Female,South,22,3946.5,1,2,0
296,18,Female,West,34,3469.1,1,3,1
297,65,Male,West,47,5752.85,0,3,0
298,29,Male,West,8,4272.05,0,7,1
299,22,Female,North,40,2980.74,0,0,0
300,54,Male,West,49,5131.23,1,3,0
