transaction_id,channel,country,amount_eur,hour_of_day,previous_transactions_24h,fraud_flag
67,Online,ES,52.62,23,0,0
68,Online,ES,42.51,8,0,0
69,Online,IT,6.62,17,0,0
70,POS,FR,52.25,16,0,0
71,POS,NL,43.95,8,2,0
72,Online,IT,18.15,23,1,0
73,POS,DE,17.0,6,0,0
74,POS,FR,50.59,17,3,0
75,Online,FR,165.49,22,1,1
76,Online,IT,49.32,2,0,0
77,Mobile,FR,72.28,22,1,0
78,Online,BE,14.41,21,1,0
79,Online,BE,21.88,9,2,0
80,Mobile,IT,60.83,20,1,0
81,POS,IT,8.51,0,4,0
82,Mobile,BE,40.74,4,2,0
83,Online,NL,54.24,18,2,0
84,Online,FR,31.86,22,0,0
85,POS,BE,45.58,3,0,0
86,Online,ES,35.09,17,2,0
87,POS,ES,17.78,2,1,0
88,Online,FR,10.19,18,0,0
89,Mobile,ES,30.26,21,0,0
90,Mobile,DE,122.06,11,0,0
91,Mobile,BE,92.24,2,3,0
92,POS,FR,23.45,4,2,0
93,POS,ES,22.96,12,2,0
94,POS,IT,21.33,19,1,0
95,Online,ES,21.34,12,0,0
96,POS,ES,44.16,11,0,0
97,Online,ES,95.34,14,0,0
98,Mobile,DE,318.24,23,1,1
99,Online,DE,14.44,18,3,0
100,Online,IT,63.51,3,0,0
101,Mobile,BE,56.96,4,1,0
102,Online,FR,23.81,8,1,0
103,POS,BE,11.87,6,1,0
104,POS,NL,43.61,17,0,0
105,Online,NL,275.86,23,3,1
106,POS,NL,43.34,13,1,0
107,Mobile,BE,15.07,21,1,1
108,Online,NL,28.3,10,1,0
109,POS,NL,10.59,16,3,0
110,Mobile,ES,33.73,16,2,0
111,Online,ES,65.59,7,1,0
112,Mobile,DE,16.57,17,1,0
113,Mobile,ES,1.28,12,1,0
114,Mobile,NL,43.68,13,1,0
115,POS,FR,20.05,6,1,0
116,Mobile,FR,15.63,7,1,0
117,Mobile,FR,15.5,20,1,0
118,POS,IT,49.41,14,1,0
119,Online,NL,22.02,3,1,0
120,Mobile,BE,83.97,13,1,1
121,Online,DE,85.84,14,1,0
122,Mobile,FR,25.26,19,1,0
123,POS,DE,19.67,20,2,0
124,POS,ES,37.63,15,0,0
125,Mobile,NL,28.63,0,0,0
126,POS,NL,5.74,11,4,0
127,Mobile,DE,224.55,4,3,0
128,Mobile,IT,67.65,0,0,0
129,Online,NL,20.83,22,2,0
130,Mobile,DE,4.87,4,1,0
131,Online,FR,27.65,5,1,0
132,Mobile,NL,18.39,8,4,0
133,Online,BE,31.17,11,0,0
134,Online,FR,3.8,14,0,0
135,Online,BE,20.65,7,1,0
136,Mobile,NL,21.95,19,0,0
137,POS,DE,27.32,3,2,0
138,POS,DE,26.15,23,3,0
139,POS,ES,34.89,20,3,0
140,POS,ES,151.59,14,1,0
141,Mobile,NL,19.79,1,0,0
142,Mobile,FR,13.31,17,1,0
143,Online,ES,5.89,16,2,0
144,POS,NL,19.86,14,3,0
145,Online,NL,8.16,6,1,0
146,Online,BE,86.5,10,1,0
147,Online,BE,30.08,9,0,0
148,Mobile,ES,84.73,14,1,0
149,Mobile,FR,143.41,7,3,0
150,Online,IT,13.94,9,3,0
151,Mobile,NL,23.4,21,1,1
152,Online,NL,125.42,10,5,0
153,Online,BE,40.01,14,2,0
154,Online,IT,55.79,21,1,0
155,Online,NL,93.04,22,3,0
156,POS,ES,81.17,13,1,0
157,POS,IT,49.92,6,2,0
158,Online,BE,133.8,2,2,0
159,POS,ES,30.93,20,0,0
160,POS,DE,55.67,12,1,0
161,POS,ES,27.75,13,1,0
162,Mobile,FR,91.89,22,1,0
163,POS,DE,16.43,8,2,0
164,POS,DE,6.15,2,2,0
165,Mobile,IT,63.75,16,2,0
166,Mobile,ES,11.94,23,1,0
167,Mobile,ES,10.81,4,2,0
168,POS,ES,117.32,23,1,0
169,Online,DE,87.03,12,0,1
170,Online,DE,23.51,13,0,0
171,Online,BE,1.58,23,2,0
172,Mobile,DE,56.44,7,0,0
173,Mobile,BE,64.23,17,2,0
174,POS,IT,55.52,0,1,0
175,Mobile,ES,53.03,16,0,0
176,Mobile,FR,27.62,0,0,0
177,POS,IT,21.97,0,1,0
178,Online,BE,10.96,9,2,0
179,POS,FR,16.49,8,4,0
180,Mobile,IT,45.67,18,1,0
181,POS,FR,46.43,21,0,1
182,POS,DE,72.95,22,2,0
183,POS,NL,8.11,14,1,0
184,Mobile,BE,6.3,3,1,0
185,POS,BE,22.65,16,1,0
186,Online,ES,11.94,11,2,0
187,POS,NL,39.88,12,2,0
188,POS,DE,8.94,12,2,0
189,Mobile,NL,107.8,21,1,0
190,Online,DE,14.56,9,0,0
191,Mobile,IT,162.82,23,1,0
192,Mobile,IT,55.94,12,1,0
193,Mobile,FR,11.53,16,0,0
194,Online,NL,269.01,22,2,1
195,Online,IT,43.18,19,0,0
196,POS,NL,39.1,10,1,0
197,Online,NL,31.02,4,0,0
198,POS,FR,52.8,3,1,0
199,Mobile,IT,56.0,8,3,0
200,POS,ES,13.94,15,1,0
201,Mobile,FR,26.75,19,0,0
202,Mobile,FR,37.18,0,1,0
203,Mobile,NL,59.31,11,1,0
204,Mobile,DE,60.32,22,0,0
205,Online,ES,39.04,19,0,0
206,Online,FR,19.1,22,1,0
207,Mobile,IT,18.15,22,2,0
208,Mobile,FR,10.06,2,1,0
209,Mobile,IT,59.9,16,1,0
210,POS,ES,17.89,13,1,0
211,Online,BE,27.34,11,1,0
212,POS,IT,42.0,19,0,0
213,POS,IT,33.25,22,0,0
214,Online,DE,32.93,11,2,0
215,POS,DE,13.4,15,2,1
216,POS,ES,43.33,11,2,0
217,Online,NL,24.22,15,0,1
218,Mobile,ES,30.37,23,1,0
219,POS,FR,105.42,19,1,0
220,Mobile,ES,54.89,5,3,1
221,Online,NL,18.71,20,2,0
222,Mobile,BE,28.53,12,1,0
223,POS,BE,163.93,14,2,1
224,Mobile,NL,24.35,2,1,0
225,Online,BE,34.46,10,2,0
226,Online,BE,64.34,7,1,0
227,Online,FR,41.07,2,0,1
228,POS,BE,22.81,20,1,0
229,POS,DE,15.75,3,0,0
230,Online,BE,32.78,17,0,0
231,Online,DE,63.94,17,1,0
232,Mobile,DE,124.08,14,1,1
233,Mobile,NL,7.65,20,1,0
234,Online,NL,193.02,2,4,0
235,Mobile,NL,24.82,0,0,0
236,Mobile,DE,83.5,20,1,0
237,Mobile,ES,15.84,4,1,0
238,Online,DE,6.61,7,1,0
239,POS,FR,8.91,16,2,0
240,Online,DE,23.78,12,0,0
241,Online,FR,55.93,4,0,0
242,Mobile,DE,34.16,5,1,1
243,Mobile,DE,25.78,20,4,0
244,Online,NL,101.29,12,2,0
245,POS,BE,33.18,22,2,0
246,Online,DE,43.81,13,1,0
247,Mobile,BE,743.25,15,0,0
248,POS,IT,32.85,8,0,0
249,Online,FR,16.51,0,1,0
250,Mobile,BE,53.57,12,0,0
251,Online,ES,69.0,17,1,0
252,Online,FR,44.75,9,1,0
253,Mobile,NL,38.74,20,0,0
254,POS,ES,145.8,16,0,0
255,Mobile,BE,128.67,12,0,0
256,Online,FR,29.46,13,2,1
257,POS,FR,17.4,5,0,0
258,POS,NL,50.87,21,0,0
259,Online,BE,17.3,1,1,0
260,Online,BE,80.25,1,2,0
261,Online,BE,50.61,18,2,0
262,POS,DE,478.2,0,1,0
263,POS,NL,144.5,12,0,0
264,POS,BE,11.26,4,1,0
265,Online,BE,19.71,16,0,0
266,Mobile,DE,4.88,2,2,0
267,Mobile,NL,3.9,6,1,0
268,Mobile,FR,37.11,12,1,0
269,Online,NL,10.05,9,2,0
270,Mobile,DE,170.92,4,0,0
271,Online,BE,105.42,1,1,0
272,POS,DE,25.24,0,3,0
273,Online,FR,23.85,4,2,0
274,Online,ES,146.26,6,1,0
275,POS,DE,183.94,2,0,0
276,Online,DE,13.03,12,1,0
277,Mobile,DE,11.46,21,1,0
278,POS,FR,24.51,17,1,0
279,Mobile,BE,50.97,7,2,0
280,Online,NL,19.81,10,1,0
281,Mobile,FR,52.05,18,3,0
282,Online,ES,232.83,23,1,0
283,POS,IT,8.12,13,0,0
284,POS,BE,21.21,4,0,0
285,Mobile,BE,8.27,20,2,0
286,Online,ES,14.35,12,1,0
287,Online,ES,24.66,0,5,0
288,Online,BE,16.0,6,2,0
289,Mobile,BE,55.7,12,1,0
290,POS,IT,38.51,19,1,0
291,Online,ES,44.66,20,1,0
292,Mobile,DE,24.37,4,0,0
293,Online,FR,26.72,17,1,0
294,Online,ES,23.32,23,1,0
295,POS,BE,25.82,19,0,0
296,Mobile,FR,50.35,17,2,0
297,Mobile,BE,4.84,19,2,0
298,Online,FR,44.17,13,1,0
299,Mobile,ES,13.89,14,4,0
300,Mobile,ES,23.6,12,4,0
301,Online,IT,6.95,22,0,0
302,POS,IT,23.13,8,0,0
303,POS,ES,43.72,18,2,0
304,POS,ES,52.3,0,0,0
305,POS,ES,10.11,10,1,0
306,POS,DE,49.84,21,1,0
307,POS,IT,103.52,5,0,0
308,POS,BE,20.21,19,0,0
309,POS,IT,33.15,12,4,0
310,POS,DE,4.18,3,2,0
311,Online,DE,13.5,2,1,0
312,POS,BE,43.4,2,1,0
313,Mobile,BE,86.1,11,1,0
314,Mobile,FR,18.19,7,2,0
315,Mobile,DE,477.89,21,0,1
316,Mobile,DE,45.33,18,2,0
317,Mobile,ES,9.27,3,1,0
318,POS,NL,119.96,12,0,0
319,Mobile,NL,9.46,18,2,0
320,Mobile,IT,45.99,15,0,0
321,Online,IT,13.08,0,0,1
322,Online,NL,8.52,0,1,0
323,Online,NL,86.67,14,1,0
324,POS,DE,25.54,22,1,0
325,Mobile,BE,185.99,1,1,0
326,POS,DE,11.97,3,0,0
327,Mobile,IT,6.96,4,0,0
328,Online,FR,20.5,7,2,0
329,POS,BE,596.16,21,1,0
330,Mobile,DE,76.24,22,0,0
331,Online,DE,57.62,7,0,0
332,Mobile,ES,59.56,17,0,0
333,Online,BE,20.39,0,0,0
334,Mobile,DE,507.43,12,4,0
335,Online,FR,52.36,15,2,0
336,POS,DE,47.67,20,2,0
337,Mobile,FR,88.66,19,3,0
338,POS,DE,9.27,1,1,0
339,POS,IT,13.74,9,1,0
340,Mobile,DE,25.91,1,0,0
341,Mobile,FR,89.24,0,1,0
342,Online,BE,9.04,3,2,0
343,POS,NL,30.96,22,2,0
344,Mobile,DE,26.87,6,1,0
345,POS,IT,6.86,17,0,0
346,Online,ES,19.91,17,1,0
347,Online,DE,56.95,20,1,0
348,Mobile,FR,7.51,12,2,0
349,POS,IT,135.82,23,1,0
350,Mobile,DE,52.88,10,2,0
351,Mobile,DE,46.81,18,2,1
352,Online,DE,33.39,18,2,0
353,POS,BE,11.11,13,0,0
354,Online,BE,17.29,7,2,0
355,Mobile,BE,47.55,3,1,0
356,POS,FR,17.26,2,1,0
357,Mobile,DE,39.99,11,2,0
358,Online,BE,13.48,9,4,0
359,Online,ES,52.01,5,1,0
360,Mobile,ES,56.04,18,0,0
361,POS,ES,6.5,3,1,0
362,Online,NL,35.42,11,1,0
363,Mobile,FR,7.23,10,2,0
364,POS,FR,5.15,23,1,0
365,Online,IT,18.29,2,0,0
366,Online,FR,542.9,20,1,0
367,Mobile,DE,71.91,16,0,0
368,Online,DE,133.23,18,1,0
369,POS,DE,60.85,18,3,0
370,Online,FR,40.67,18,2,1
371,Mobile,DE,81.08,10,3,0
372,Mobile,BE,17.47,13,3,0
373,Mobile,DE,53.01,8,0,0
374,Mobile,BE,107.46,21,3,0
375,Online,BE,66.65,5,0,0
376,Mobile,ES,114.75,14,2,0
377,Online,IT,39.75,5,1,0
378,POS,NL,179.84,8,0,0
379,Mobile,NL,26.89,23,0,0
380,Online,FR,275.25,4,0,0
381,Online,BE,58.77,21,1,0
382,Online,ES,22.56,19,1,0
383,POS,DE,10.18,8,2,0
384,POS,FR,14.76,8,3,0
385,POS,BE,12.69,0,1,0
386,Online,BE,30.3,18,1,0
387,Online,BE,9.26,15,2,0
388,Online,BE,120.63,23,2,1
389,Online,NL,36.99,6,2,0
390,POS,FR,35.52,9,0,0
391,Online,BE,10.33,16,0,0
392,Online,NL,15.35,8,0,0
393,POS,IT,3.6,7,1,0
394,POS,BE,166.97,4,4,0
395,Mobile,ES,8.02,23,3,0
396,POS,BE,8.65,11,0,0
397,Mobile,IT,136.07,18,1,0
398,Mobile,NL,48.79,15,1,0
399,POS,IT,37.37,14,1,0
400,POS,DE,46.54,7,0,0
401,Online,IT,85.96,7,1,0
402,Mobile,NL,36.59,11,1,0
403,Mobile,DE,7.07,3,2,0
404,POS,BE,68.94,12,5,0
405,POS,BE,50.52,2,0,0
406,Online,NL,106.86,6,0,0
407,POS,FR,9.5,15,2,0
408,Online,IT,15.97,0,2,1
409,Online,DE,49.01,1,0,0
410,Online,IT,12.88,5,0,0
411,POS,ES,3.15,18,0,0
412,POS,IT,40.34,19,1,0
413,POS,IT,81.05,0,1,0
414,Mobile,DE,29.11,6,1,0
415,POS,IT,57.29,1,1,0
416,Mobile,FR,49.57,0,2,0
417,Online,DE,33.46,22,1,0
418,Online,IT,37.94,10,2,0
419,POS,FR,127.63,19,1,0
420,Online,ES,12.63,16,1,0
421,Mobile,BE,71.74,10,2,0
422,Online,DE,10.17,18,1,0
423,Mobile,IT,14.96,5,2,0
424,Mobile,IT,109.5,9,0,0
425,POS,BE,9.88,9,2,0
426,Online,BE,26.01,13,3,0
427,POS,NL,351.2,5,1,0
428,POS,ES,92.35,17,0,0
429,POS,IT,15.84,20,0,0
430,Online,IT,18.81,21,0,1
431,Online,BE,27.94,21,1,0
432,Mobile,IT,122.97,15,0,0
433,Online,ES,12.16,19,2,0
434,POS,BE,11.45,16,1,0
435,Mobile,ES,67.58,22,2,0
436,Online,NL,6.16,2,0,1
437,Mobile,ES,13.32,4,1,0
438,POS,BE,30.41,10,0,0
439,POS,FR,32.01,14,0,0
440,Mobile,BE,8.46,21,4,0
441,Mobile,IT,47.17,2,0,0
442,POS,BE,57.61,3,1,0
443,Online,FR,17.07,20,4,0
444,Mobile,FR,174.3,7,1,0
445,Online,BE,46.51,0,0,0
446,Mobile,BE,12.12,16,1,0
447,POS,DE,167.47,21,0,0
448,POS,BE,19.62,21,1,0
449,Mobile,DE,39.6,20,2,0
450,Mobile,IT,20.35,1,1,0
451,Online,BE,61.82,3,1,0
452,Mobile,IT,20.46,20,2,0
453,POS,FR,21.74,16,1,0
454,POS,FR,28.22,5,3,0
455,POS,DE,20.05,9,1,0
456,Mobile,BE,96.72,20,2,0
457,Online,BE,9.41,22,0,0
458,POS,BE,31.91,21,1,1
459,Mobile,IT,36.21,11,1,0
460,POS,BE,29.23,18,1,0
461,POS,ES,87.21,1,2,0
462,POS,NL,7.36,22,2,0
463,POS,FR,58.44,5,1,0
464,Mobile,ES,9.54,23,1,0
465,Mobile,FR,19.91,0,0,0
466,Mobile,ES,8.6,22,2,0
467,Online,BE,23.76,12,0,0
468,Online,FR,18.57,12,2,0
469,Mobile,BE,170.42,16,1,0
470,POS,IT,42.16,11,2,0
471,POS,ES,51.41,22,1,0
472,POS,IT,10.94,2,0,0
473,POS,NL,69.41,15,3,0
474,Mobile,ES,170.41,5,1,1
475,POS,IT,79.04,0,2,0
476,POS,IT,8.92,15,3,1
477,POS,BE,20.82,16,0,0
478,Online,FR,36.91,3,1,0
479,Mobile,BE,18.59,17,0,0
480,Online,IT,416.96,22,0,0
481,Online,IT,20.44,16,0,0
482,Online,IT,31.71,5,3,0
483,Online,IT,18.17,2,0,0
484,Online,BE,41.75,2,2,0
485,Online,DE,131.94,14,2,0
486,Online,NL,37.15,5,2,1
487,Mobile,IT,26.6,8,1,0
488,Online,NL,11.31,1,0,0
489,Mobile,NL,110.92,10,2,0
490,Mobile,FR,28.68,3,0,0
491,Mobile,ES,27.48,10,0,0
492,POS,ES,3.19,14,0,0
493,Online,DE,29.16,23,1,0
494,POS,BE,22.17,6,2,0
495,POS,IT,5.33,7,1,0
496,Mobile,ES,89.09,19,0,0
497,Online,IT,19.39,22,0,0
498,Online,ES,220.43,9,1,0
499,POS,NL,136.24,8,0,1
500,Mobile,DE,16.12,17,2,0
501,Online,DE,130.23,18,0,0
502,Mobile,NL,165.76,16,2,1
503,Mobile,IT,18.93,15,1,0
504,POS,ES,11.79,3,2,0
505,POS,IT,3.84,6,0,0
506,POS,DE,48.45,1,3,0
507,Mobile,IT,12.51,9,3,0
508,Online,IT,49.92,20,0,0
509,Online,NL,18.77,5,1,0
510,POS,IT,15.18,16,0,0
511,Online,NL,18.89,10,0,0
512,POS,FR,9.03,4,5,0
513,Mobile,DE,18.88,5,3,0
514,POS,BE,15.85,16,2,0
515,Mobile,NL,32.65,18,1,0
516,POS,IT,36.75,7,0,0
517,Online,FR,11.35,22,0,0
518,POS,IT,99.56,1,1,0
519,POS,FR,28.23,13,1,0
520,Online,BE,148.78,5,0,0
521,POS,ES,42.14,21,1,0
522,Online,IT,35.48,18,0,0
523,Mobile,FR,20.27,1,0,0
524,POS,BE,61.24,9,1,0
525,Online,DE,34.25,17,1,0
526,Online,NL,78.14,13,0,0
527,POS,IT,164.79,11,0,0
528,Mobile,BE,16.01,3,0,0
529,POS,FR,61.16,13,2,0
530,Mobile,ES,59.45,2,1,0
531,Online,ES,52.36,7,4,0
532,Mobile,IT,21.47,5,1,0
533,POS,FR,21.91,15,1,0
534,Online,NL,18.47,11,0,0
535,Online,FR,18.11,10,2,0
536,POS,FR,14.29,20,0,0
537,Online,DE,29.83,9,1,0
538,POS,BE,15.52,18,0,0
539,POS,FR,51.2,21,1,0
540,Mobile,IT,35.06,3,0,0
541,POS,NL,39.22,17,1,0
542,Mobile,ES,25.19,1,0,0
543,Online,BE,35.48,15,2,0
544,POS,DE,25.86,5,3,0
545,POS,FR,72.21,6,1,0
546,Online,IT,21.28,20,1,0
547,Mobile,FR,48.21,4,0,0
548,POS,BE,8.97,12,1,0
549,Mobile,BE,67.5,18,1,0
550,Mobile,IT,18.93,19,2,0
551,Mobile,BE,13.3,4,3,0
552,POS,IT,10.6,8,0,0
553,Mobile,IT,9.8,13,1,0
554,Mobile,NL,20.46,14,1,0
555,Mobile,IT,148.21,3,2,0
556,Mobile,IT,17.4,14,2,0
557,Mobile,NL,3.64,0,0,0
558,Mobile,FR,47.73,15,1,0
559,Online,DE,10.87,17,1,0
560,POS,IT,74.8,11,0,0
561,POS,FR,21.73,5,1,0
562,Mobile,DE,25.18,5,0,0
563,Mobile,NL,109.65,16,0,0
564,Mobile,ES,61.42,10,0,0
565,POS,NL,9.52,22,2,0
566,Mobile,DE,11.03,23,0,0
567,Online,BE,5.56,10,0,0
568,Mobile,NL,447.3,6,1,0
569,Online,DE,13.98,19,0,0
570,POS,IT,106.68,17,1,0
571,Mobile,FR,19.45,3,2,0
572,Mobile,DE,11.25,22,0,0
573,Online,IT,33.84,4,1,0
574,POS,NL,23.89,13,2,0
575,POS,DE,73.84,4,2,0
576,Mobile,IT,74.77,11,1,0
577,Online,ES,18.35,14,1,0
578,Mobile,FR,7.85,2,2,0
579,POS,IT,10.0,6,3,0
580,Mobile,BE,3.38,18,2,0
581,Mobile,ES,25.17,22,3,0
582,POS,IT,32.73,21,0,0
583,POS,BE,10.56,18,3,0
584,Mobile,FR,9.36,23,1,0
585,Mobile,BE,32.59,3,1,0
586,Mobile,NL,17.6,4,0,0
587,POS,FR,26.76,9,0,0
588,POS,ES,22.94,22,0,0
589,Online,FR,42.47,19,1,0
590,POS,ES,18.82,8,1,0
591,Online,FR,20.31,0,1,0
592,Mobile,DE,5.04,14,2,0
593,Online,NL,31.49,7,1,0
594,Mobile,BE,36.19,5,3,0
595,Mobile,DE,27.72,5,0,0
596,POS,FR,224.04,5,0,0
597,Mobile,BE,38.97,7,0,0
598,POS,NL,28.32,14,0,0
599,Mobile,FR,54.55,3,0,0
600,Mobile,DE,273.93,11,1,0
601,Online,DE,42.64,22,2,0
602,Mobile,IT,3.58,23,2,0
603,Mobile,IT,51.01,19,2,1
604,Online,DE,13.75,6,3,0
605,Online,IT,4.84,3,2,0
606,Online,DE,180.83,21,1,0
607,Mobile,FR,145.68,9,0,0
608,Mobile,IT,13.39,11,2,0
609,POS,NL,13.48,10,4,0
610,Mobile,FR,38.87,3,1,0
611,Mobile,ES,13.66,17,1,0
612,POS,IT,28.93,5,2,0
613,Mobile,IT,16.23,5,2,0
614,Mobile,IT,22.19,18,1,0
615,Mobile,IT,8.13,17,0,0
616,POS,FR,75.71,19,1,0
617,Online,DE,110.36,16,1,0
618,Online,FR,29.96,0,1,0
619,Mobile,NL,31.94,10,1,0
620,Mobile,NL,62.13,9,6,0
621,Mobile,IT,33.18,7,3,0
622,Online,DE,186.71,11,0,0
623,Mobile,BE,8.88,11,2,0
624,Online,DE,78.33,14,1,0
625,POS,BE,29.54,23,3,0
626,Mobile,FR,10.79,15,4,0
627,Online,NL,313.28,22,0,0
628,POS,FR,359.67,19,0,0
629,Mobile,ES,26.9,17,0,1
630,Online,ES,51.66,6,0,0
631,Online,DE,20.67,13,0,0
632,POS,DE,24.28,2,0,0
633,Mobile,ES,10.67,22,1,0
634,POS,FR,9.2,4,1,0
635,POS,NL,209.38,5,0,0
636,POS,NL,31.86,22,3,0
637,Online,FR,34.83,2,2,0
638,POS,DE,14.72,13,0,1
639,Mobile,NL,40.04,13,3,0
640,POS,ES,7.36,5,3,0
641,Mobile,FR,15.28,9,0,0
642,POS,ES,9.98,18,1,0
643,Mobile,NL,120.65,17,0,0
644,POS,FR,6.35,14,2,0
645,POS,FR,10.18,13,1,0
646,Mobile,BE,4.27,8,0,0
647,Online,IT,13.6,14,0,0
648,POS,FR,20.92,0,1,0
649,Mobile,FR,88.04,1,1,0
650,Mobile,IT,26.52,18,2,0
651,Online,FR,21.96,4,1,0
652,Mobile,FR,44.7,17,3,0
653,POS,NL,21.27,0,1,0
654,POS,ES,368.67,6,0,0
655,Online,NL,18.34,22,0,0
656,Online,DE,50.08,6,2,0
657,POS,FR,75.68,23,2,0
658,POS,FR,17.82,6,0,0
659,Online,NL,39.07,15,1,0
660,Mobile,BE,20.07,16,0,0
661,POS,IT,43.55,15,0,0
662,Online,NL,36.63,7,1,0
663,Mobile,FR,28.78,18,4,0
664,Online,BE,10.43,7,1,0
665,Mobile,DE,213.51,19,2,0
666,Mobile,BE,59.53,9,3,0
667,Mobile,FR,6.76,20,2,0
668,Mobile,NL,21.75,23,1,0
669,Mobile,IT,6.89,18,1,0
670,Online,IT,70.96,11,0,0
671,POS,FR,32.4,10,1,0
672,POS,NL,33.25,9,1,0
673,POS,NL,14.26,8,2,0
674,Online,IT,24.15,11,0,0
675,Online,IT,72.76,11,1,0
676,Mobile,FR,95.19,17,1,0
677,Mobile,IT,77.2,21,5,0
678,Mobile,DE,7.01,21,0,0
679,POS,FR,27.49,14,1,0
680,POS,NL,42.66,23,2,1
681,Mobile,BE,15.88,21,0,0
682,Mobile,ES,6.3,11,1,0
683,POS,IT,9.15,9,2,0
684,POS,ES,148.38,11,0,0
685,Mobile,BE,10.06,0,1,0
686,Mobile,ES,34.73,7,2,0
687,Online,BE,28.32,9,2,0
688,Online,FR,28.4,18,1,1
689,Online,BE,24.05,6,0,0
690,Online,DE,72.9,15,2,1
691,Mobile,NL,34.32,7,2,0
692,POS,ES,17.71,8,4,0
693,Online,FR,34.86,1,1,0
694,Online,IT,9.23,12,1,0
695,POS,NL,53.3,2,1,0
696,Mobile,FR,16.76,4,1,0
697,POS,DE,17.75,12,1,0
698,POS,IT,55.32,16,0,0
699,Online,FR,22.04,9,0,0
700,Online,BE,23.31,6,0,0
701,Mobile,NL,106.45,21,2,0
702,Mobile,BE,12.51,8,1,0
703,Mobile,FR,54.51,7,1,0
704,POS,BE,85.59,1,3,0
705,Online,BE,106.37,8,1,0
706,POS,NL,291.93,5,2,0
707,Mobile,NL,17.42,8,3,0
708,Online,NL,13.9,4,1,0
709,Mobile,DE,74.98,4,2,0
710,Mobile,ES,84.8,17,1,0
711,Mobile,DE,15.02,11,2,0
712,POS,IT,53.77,16,0,0
713,POS,NL,504.82,13,1,1
714,Mobile,BE,36.77,12,2,0
715,Online,ES,83.39,11,4,0
716,Mobile,NL,160.25,9,0,0
717,POS,BE,404.94,6,2,1
718,POS,NL,42.34,21,1,0
719,POS,ES,115.94,9,0,0
720,Online,FR,15.05,21,2,0
721,Mobile,IT,33.95,18,1,0
722,Mobile,BE,21.19,14,0,0
723,POS,DE,5.03,20,1,0
724,Online,NL,6.67,15,1,0
725,Mobile,NL,50.91,19,2,0
726,Mobile,NL,51.92,19,1,0
727,Mobile,DE,11.69,15,2,0
728,Online,ES,157.18,17,1,0
729,Online,FR,10.91,19,2,0
730,POS,NL,42.83,5,2,0
731,Online,NL,21.86,21,0,0
732,POS,FR,36.85,12,2,0
733,POS,DE,81.33,2,2,0
734,POS,ES,70.62,3,1,0
735,Mobile,FR,67.21,18,0,0
736,POS,NL,59.15,19,1,0
737,POS,DE,9.27,15,0,0
738,Mobile,FR,102.98,15,2,1
739,POS,NL,11.47,20,1,0
740,Mobile,NL,29.78,23,2,0
741,Mobile,IT,23.31,19,3,0
742,Mobile,FR,47.0,3,2,0
743,POS,ES,20.39,19,3,0
